LAC  ,CELLID   
21678,11162
21678,482
21678,11088
54033,10813
54033,10333
54033,26682
21748,16377
54033,8281
54252,27323
21748,11249
21748,12581
21748,12587
54033,12713
54033,6071
21265,4862
54270,43331
54270,43332
21678,11143
21678,11081
21678,44727
21678,44728
54033,10363
54033,10331
21678,11161
21748,16351
21748,16357
21748,36949
54033,7324
54033,7123
21747,16032
21747,19391
21747,19867
54033,15322
54033,17411
54033,15891
54033,15123
21678,44738
21678,44737
21747,8963
21747,28963
54033,18681
21748,12583
21748,12589
25344,11181
54033,6073
54033,10371
54033,10362
25344,12147
25344,12141
25344,43789
54033,10421
25345,25921
21724,45555
21529,45351
21724,43952
21529,37772
21529,37774
21529,16932
21529,16938
21529,43437
54033,16451
54033,17162
21747,19868
54033,15892
21748,16358
21748,16352
25356,9611
25356,10240
25356,39329
54033,14513
21747,20712
21747,712
21748,36947
21748,10133
25345,45015
21748,39469
54033,7271
54033,7121
54033,7124
54033,7125
54033,8623
21529,37773
21724,6431
21529,43438
21529,43439
21724,25251
21724,25257
54033,15751
54033,15311
21748,11241
25356,9613
25356,10681
54033,7322
54033,7323
54033,12711
54033,12041
21748,143
21748,20143
21751,143
21748,3141
54033,12823
21748,27022
21748,7022
25344,43788
21724,6432
54033,15752
21747,8961
21747,28961
21747,11963
21747,11969
54033,17363
25344,45411
25344,11209
25344,11203
54033,11361
54033,13043
25356,39327
54033,7272
54033,14511
54033,15121
25356,10761
21747,28962
21747,8962
21748,10201
21748,11139
21748,11133
54033,11402
54033,11401
54033,9363
25344,48171
25344,12142
25344,39993
54033,7411
54033,7412
54033,7413
54033,7414
54033,14721
54033,10422
54033,13453
54033,13451
21748,16372
21751,141
21748,141
21748,20141
21748,10117
21747,44239
54033,12821
21748,11131
21748,11137
54033,9361
25351,44941
54033,10332
21529,10209
21529,45022
21529,43488
21529,45021
21529,7539
21529,7533
54033,16172
54033,16173
54033,16171
54033,16161
54033,15373
54033,18401
54033,18402
54033,16351
54033,15122
25617,39453
21748,11242
25356,7551
25356,8513
54033,12712
54033,10053
54033,13521
54033,13522
54033,13523
54033,13503
25345,25929
25345,25923
25345,19039
54033,18463
54033,16131
21747,20711
21748,39467
25345,19413
25345,19419
25345,10661
25345,10311
25345,10110
25345,11519
54033,8621
54033,13961
54033,14593
54033,13183
54033,11641
54033,13103
21747,15168
21747,15169
21747,15167
21749,2571
21724,37084
21724,10248
21529,11843
21724,37067
21724,37062
21724,12619
21724,12613
54033,16111
54033,16011
54033,15733
54033,17383
25356,9612
25617,13273
21724,12611
54033,18322
54033,15731
21265,4262
54270,44042
25356,8511
54033,12171
54033,12172
25356,11643
25356,11649
25356,10241
54033,14512
54033,10051
54033,10054
54033,13501
54033,13273
21748,142
21751,142
21748,20142
25356,39328
54033,12822
21747,44237
25345,30397
25345,30391
54033,10731
21747,11968
54033,17362
54033,26523
25356,6303
54033,10983
54033,7661
21724,25252
21724,25258
21724,37083
21724,37089
21724,45675
21724,45674
21724,45678
21724,45677
21724,45673
21724,45676
21724,45686
21724,45684
21724,45687
54033,15312
25344,15149
25344,7663
21267,6243
21267,26243
54033,10193
54033,10223
21747,44238
25356,30393
25356,30399
25345,48049
54033,10733
54033,14643
21724,45689
21529,25218
21529,9849
21529,9843
54033,15133
54033,18451
54033,18452
21724,45672
21724,45685
25353,8572
54252,27321
21724,45681
21724,45688
21724,45682
25344,11202
25344,9701
25344,7041
25344,7047
25344,93
21751,93
25344,20093
21267,39919
54033,13041
54033,13042
54033,10971
54033,261
54033,10781
54033,11661
54033,11662
54033,10533
21529,9842
21529,29842
54033,15132
21724,45683
21724,37081
25344,15148
21267,43744
21267,36233
54033,13452
54033,11933
25355,37571
21267,43747
25350,4172
54270,43872
25344,39991
25344,39992
21748,36942
25356,11647
25356,11641
25356,10992
54033,7122
54033,13271
54033,29051
54033,29052
54033,29053
25356,10218
21748,39468
54033,8622
54033,791
54033,15451
54033,15452
54033,14503
21529,11847
21529,11841
25355,36323
25355,36329
54033,16031
54033,17381
54033,18321
54033,18162
54033,18163
54033,17941
54033,17944
54033,15794
54033,15793
21529,7532
25355,11883
25355,37573
25355,36327
54033,15372
54033,17453
54033,18161
21748,11132
25356,6301
25356,26301
54033,9362
54033,10981
25345,19037
25345,53112
25345,45094
25345,301
25345,20301
25345,303
54033,18461
54033,15761
54033,15764
54033,17591
54033,7391
54033,7392
21724,29981
